county,coastline,population_2010,no_migration,same_migration,percent_growth_no_migration,percent_growth_same_migration,percent_change_no_migration,percent_change_same_migration,net_gain_no_migration,net_gain_same_migration
Aransas,yes,23158,21648,26726,93.5,115.4,-6.5,15.4,-1510,3568
Austin,no,28417,32018,76037,112.7,267.6,12.7,167.6,3601,47620
Bee,no,31861,36851,32001,115.7,100.4,15.7,0.4,4990,140
Brazoria,yes,313166,383428,924456,122.4,295.2,22.4,195.2,70262,611290
Brooks,no,7223,9135,7329,126.5,101.5,26.5,1.5,1912,106
Calhoun,yes,21381,24592,37899,115.0,177.3,15.0,77.3,3211,16518
Cameron,yes,406220,662685,741902,163.1,182.6,63.1,82.6,256465,335682
Chambers,yes,35096,39446,119555,112.4,340.7,12.4,240.7,4350,84459
Colorado,no,20874,22846,25492,109.4,122.1,9.4,22.1,1972,4618
De Witt,no,20097,21760,22847,108.3,113.7,8.3,13.7,1663,2750
Duval,no,11782,15189,12419,128.9,105.4,28.9,5.4,3407,637
Fayette,no,24554,23169,37438,94.4,152.5,-5.6,52.5,-1385,12884
Fort Bend,no,585375,656122,2738553,112.1,467.8,12.1,367.8,70747,2153178
Galveston,yes,291309,320135,484451,109.9,166.3,9.9,66.3,28826,193142
Goliad,no,7210,6847,11354,95.0,157.5,-5.0,57.5,-363,4144
Harris,yes,4092459,5144422,7527827,125.7,183.9,25.7,83.9,1051963,3435368
Hidalgo,no,774769,1255303,1779370,162.0,229.7,62.0,129.7,480534,1004601
Jackson,no,14075,17098,13366,121.5,95.0,21.5,-5.0,3023,-709
Jasper,no,35710,39073,37207,109.4,104.2,9.4,4.2,3363,1497
Jefferson,yes,252273,287222,362564,113.9,143.7,13.9,43.7,34949,110291
Jim Hogg,no,5300,7601,6090,143.4,114.9,43.4,14.9,2301,790
Jim Wells,no,40838,62653,47533,153.4,116.4,53.4,16.4,21815,6695
Kenedy,yes,416,465,438,111.8,105.3,11.8,5.3,49,22
Kleberg,yes,32061,45605,40555,142.2,126.5,42.2,26.5,13544,8494
Lavaca,no,19263,18978,19205,98.5,99.7,-1.5,-0.3,-285,-58
Liberty,no,75643,89830,151846,118.8,200.7,18.8,100.7,14187,76203
Live Oak,no,11531,11861,10984,102.9,95.3,2.9,-4.7,330,-547
Matagorda,yes,36702,44325,41834,120.8,114.0,20.8,14.0,7623,5132
Newton,no,14445,14773,11573,102.3,80.1,2.3,-19.9,328,-2872
Nueces,yes,340223,398122,455730,117.0,134.0,17.0,34.0,57899,115507
Orange,no,81837,86976,105721,106.3,129.2,6.3,29.2,5139,23884
Refugio,yes,7383,8721,6880,118.1,93.2,18.1,-6.8,1338,-503
San Patricio,yes,64804,89745,67771,138.5,104.6,38.5,4.6,24941,2967
Starr,no,60968,115415,77617,189.3,127.3,89.3,27.3,54447,16649
Tyler,no,21766,20901,21376,96.0,98.2,-4.0,-1.8,-865,-390
Victoria,no,86793,111697,103519,128.7,119.3,28.7,19.3,24904,16726
Waller,no,43205,56609,136570,131.0,316.1,31.0,216.1,13404,93365
Washington,no,33718,34286,47223,101.7,140.1,1.7,40.1,568,13505
Webb,no,250304,425655,529784,170.1,211.7,70.1,111.7,175351,279480
Wharton,no,41280,49359,44461,119.6,107.7,19.6,7.7,8079,3181
Willacy,yes,22134,33014,39693,149.2,179.3,49.2,79.3,10880,17559
